Louisiana,Level 1,Oct-11-2008
Maine,Level 1,Oct-11-2008
Maryland,Level 1,Oct-11-2008
Massachusetts,Level 1,Oct-11-2008
Michigan,Level 1,Oct-11-2008
Minnesota,Level 1,Oct-11-2008
Mississippi,Level 1,Oct-11-2008
Missouri,Level 1,Oct-11-2008
Montana,Level 1,Oct-11-2008
Nebraska,Level 1,Oct-11-2008
Nevada,Level 1,Oct-11-2008
New Hampshire,Level 1,Oct-11-2008
New Jersey,Level 1,Oct-11-2008
New Mexico,Level 1,Oct-11-2008
New York,Level 1,Oct-11-2008
North Carolina,Level 1,Oct-11-2008
North Dakota,Level 1,Oct-11-2008
Ohio,Level 1,Oct-11-2008
Oklahoma,Level 1,Oct-11-2008
Oregon,Level 1,Oct-11-2008
Pennsylvania,Level 1,Oct-11-2008
Rhode Island,Level 1,Oct-11-2008
South Carolina,Level 1,Oct-11-2008
South Dakota,Level 1,Oct-11-2008
Tennessee,Level 1,Oct-11-2008
Texas,Level 1,Oct-11-2008
Utah,Level 1,Oct-11-2008
Vermont,Level 1,Oct-11-2008
Virginia,Level 1,Oct-11-2008
Washington,Level 1,Oct-11-2008
West Virginia,Level 1,Oct-11-2008
Wisconsin,Level 1,Oct-11-2008
Wyoming,Level 1,Oct-11-2008
Virgin Islands,Level 0,Oct-11-2008
New York City,Level 1,Oct-11-2008
Alabama,Level 1,Oct-18-2008
Alaska,Level 1,Oct-18-2008
Arizona,Level 1,Oct-18-2008
Arkansas,Level 1,Oct-18-2008
California,Level 1,Oct-18-2008
Colorado,Level 1,Oct-18-2008
Connecticut,Level 1,Oct-18-2008
Delaware,Level 1,Oct-18-2008
Florida,Level 1,Oct-18-2008
Georgia,Level 1,Oct-18-2008
Hawaii,Level 1,Oct-18-2008
Idaho,Level 1,Oct-18-2008
Illinois,Level 1,Oct-18-2008
Indiana,Level 1,Oct-18-2008
Iowa,Level 1,Oct-18-2008
Kansas,Level 1,Oct-18-2008
Kentucky,Level 1,Oct-18-2008
Louisiana,Level 1,Oct-18-2008
Maine,Level 1,Oct-18-2008
Maryland,Level 1,Oct-18-2008
Massachusetts,Level 1,Oct-18-2008
Michigan,Level 1,Oct-18-2008
Minnesota,Level 1,Oct-18-2008
Mississippi,Level 1,Oct-18-2008
Missouri,Level 1,Oct-18-2008
Montana,Level 1,Oct-18-2008
Nebraska,Level 1,Oct-18-2008
Nevada,Level 1,Oct-18-2008
New Hampshire,Level 1,Oct-18-2008
New Jersey,Level 1,Oct-18-2008
New Mexico,Level 1,Oct-18-2008
New York,Level 1,Oct-18-2008
North Carolina,Level 1,Oct-18-2008
North Dakota,Level 1,Oct-18-2008
Ohio,Level 1,Oct-18-2008
Oklahoma,Level 1,Oct-18-2008
Oregon,Level 1,Oct-18-2008
Pennsylvania,Level 1,Oct-18-2008
Rhode Island,Level 1,Oct-18-2008
South Carolina,Level 1,Oct-18-2008
South Dakota,Level 1,Oct-18-2008
Tennessee,Level 1,Oct-18-2008
Texas,Level 1,Oct-18-2008
Utah,Level 1,Oct-18-2008
Vermont,Level 1,Oct-18-2008
Virginia,Level 1,Oct-18-2008
Washington,Level 1,Oct-18-2008
West Virginia,Level 1,Oct-18-2008
Wisconsin,Level 1,Oct-18-2008
Wyoming,Level 1,Oct-18-2008
Virgin Islands,Level 0,Oct-18-2008
New York City,Level 1,Oct-18-2008
Alabama,Level 1,Oct-25-2008
Alaska,Level 1,Oct-25-2008
Arizona,Level 1,Oct-25-2008
Arkansas,Level 1,Oct-25-2008
California,Level 1,Oct-25-2008
Colorado,Level 1,Oct-25-2008
Connecticut,Level 1,Oct-25-2008
Delaware,Level 1,Oct-25-2008
Florida,Level 1,Oct-25-2008
Georgia,Level 1,Oct-25-2008
Hawaii,Level 1,Oct-25-2008
Idaho,Level 1,Oct-25-2008
Illinois,Level 1,Oct-25-2008
Indiana,Level 1,Oct-25-2008
Iowa,Level 1,Oct-25-2008
Kansas,Level 1,Oct-25-2008
Kentucky,Level 1,Oct-25-2008
Louisiana,Level 1,Oct-25-2008
Maine,Level 1,Oct-25-2008
Maryland,Level 1,Oct-25-2008
Massachusetts,Level 1,Oct-25-2008
Michigan,Level 1,Oct-25-2008
Minnesota,Level 1,Oct-25-2008
Mississippi,Level 3,Oct-25-2008
Missouri,Level 1,Oct-25-2008
Montana,Level 1,Oct-25-2008
Nebraska,Level 1,Oct-25-2008
Nevada,Level 1,Oct-25-2008
New Hampshire,Level 1,Oct-25-2008
New Jersey,Level 1,Oct-25-2008
New Mexico,Level 1,Oct-25-2008
New York,Level 1,Oct-25-2008
North Carolina,Level 1,Oct-25-2008
North Dakota,Level 1,Oct-25-2008
Ohio,Level 1,Oct-25-2008
Oklahoma,Level 1,Oct-25-2008
Oregon,Level 1,Oct-25-2008
Pennsylvania,Level 1,Oct-25-2008
Rhode Island,Level 1,Oct-25-2008
South Carolina,Level 1,Oct-25-2008
South Dakota,Level 2,Oct-25-2008
Tennessee,Level 1,Oct-25-2008
Texas,Level 1,Oct-25-2008
Utah,Level 1,Oct-25-2008
Vermont,Level 1,Oct-25-2008
Virginia,Level 1,Oct-25-2008
Washington,Level 1,Oct-25-2008
West Virginia,Level 1,Oct-25-2008
Wisconsin,Level 1,Oct-25-2008
Wyoming,Level 1,Oct-25-2008
Virgin Islands,Level 0,Oct-25-2008
New York City,Level 1,Oct-25-2008
Alabama,Level 3,Nov-01-2008
Alaska,Level 1,Nov-01-2008
Arizona,Level 1,Nov-01-2008
Arkansas,Level 1,Nov-01-2008
California,Level 1,Nov-01-2008
Colorado,Level 1,Nov-01-2008
Connecticut,Level 1,Nov-01-2008
Delaware,Level 1,Nov-01-2008
Florida,Level 1,Nov-01-2008
Georgia,Level 1,Nov-01-2008
Hawaii,Level 1,Nov-01-2008
Idaho,Level 1,Nov-01-2008
Illinois,Level 1,Nov-01-2008
Indiana,Level 1,Nov-01-2008
Iowa,Level 1,Nov-01-2008
Kansas,Level 1,Nov-01-2008
Kentucky,Level 1,Nov-01-2008
Louisiana,Level 1,Nov-01-2008
Maine,Level 1,Nov-01-2008
Maryland,Level 1,Nov-01-2008
Massachusetts,Level 1,Nov-01-2008
Michigan,Level 1,Nov-01-2008
Minnesota,Level 1,Nov-01-2008
Mississippi,Level 2,Nov-01-2008
Missouri,Level 1,Nov-01-2008
Montana,Level 1,Nov-01-2008
Nebraska,Level 1,Nov-01-2008
Nevada,Level 1,Nov-01-2008
New Hampshire,Level 1,Nov-01-2008
New Jersey,Level 1,Nov-01-2008
New Mexico,Level 1,Nov-01-2008
New York,Level 1,Nov-01-2008
North Carolina,Level 1,Nov-01-2008
North Dakota,Level 1,Nov-01-2008
Ohio,Level 1,Nov-01-2008
Oklahoma,Level 1,Nov-01-2008
Oregon,Level 1,Nov-01-2008
Pennsylvania,Level 1,Nov-01-2008
Rhode Island,Level 1,Nov-01-2008
South Carolina,Level 1,Nov-01-2008
South Dakota,Level 4,Nov-01-2008
Tennessee,Level 1,Nov-01-2008
Texas,Level 1,Nov-01-2008
Utah,Level 1,Nov-01-2008
Vermont,Level 1,Nov-01-2008
Virginia,Level 1,Nov-01-2008
Washington,Level 1,Nov-01-2008
West Virginia,Level 1,Nov-01-2008
Wisconsin,Level 1,Nov-01-2008
Wyoming,Level 1,Nov-01-2008
Virgin Islands,Level 0,Nov-01-2008
New York City,Level 1,Nov-01-2008
Alabama,Level 1,Nov-08-2008
Alaska,Level 1,Nov-08-2008
Arizona,Level 1,Nov-08-2008
Arkansas,Level 1,Nov-08-2008
California,Level 1,Nov-08-2008
Colorado,Level 1,Nov-08-2008
Connecticut,Level 1,Nov-08-2008
Delaware,Level 1,Nov-08-2008
Florida,Level 1,Nov-08-2008
Georgia,Level 1,Nov-08-2008
Hawaii,Level 1,Nov-08-2008
Idaho,Level 1,Nov-08-2008
Illinois,Level 1,Nov-08-2008
Indiana,Level 1,Nov-08-2008
Iowa,Level 1,Nov-08-2008
Kansas,Level 1,Nov-08-2008
Kentucky,Level 1,Nov-08-2008
Louisiana,Level 1,Nov-08-2008
Maine,Level 1,Nov-08-2008
Maryland,Level 1,Nov-08-2008
Massachusetts,Level 1,Nov-08-2008
Michigan,Level 1,Nov-08-2008
Minnesota,Level 1,Nov-08-2008
Mississippi,Level 3,Nov-08-2008
Missouri,Level 1,Nov-08-2008
Montana,Level 1,Nov-08-2008
Nebraska,Level 1,Nov-08-2008
Nevada,Level 1,Nov-08-2008
New Hampshire,Level 1,Nov-08-2008
New Jersey,Level 1,Nov-08-2008
New Mexico,Level 1,Nov-08-2008
New York,Level 1,Nov-08-2008
North Carolina,Level 1,Nov-08-2008
North Dakota,Level 1,Nov-08-2008
Ohio,Level 1,Nov-08-2008
Oklahoma,Level 1,Nov-08-2008
Oregon,Level 1,Nov-08-2008
Pennsylvania,Level 2,Nov-08-2008
Rhode Island,Level 1,Nov-08-2008
South Carolina,Level 1,Nov-08-2008
South Dakota,Level 4,Nov-08-2008
Tennessee,Level 1,Nov-08-2008
Texas,Level 1,Nov-08-2008
Utah,Level 1,Nov-08-2008
Vermont,Level 1,Nov-08-2008
Virginia,Level 1,Nov-08-2008
Washington,Level 1,Nov-08-2008
West Virginia,Level 1,Nov-08-2008
Wisconsin,Level 1,Nov-08-2008
Wyoming,Level 1,Nov-08-2008
Virgin Islands,Level 0,Nov-08-2008
New York City,Level 1,Nov-08-2008
Alabama,Level 2,Nov-15-2008
Alaska,Level 1,Nov-15-2008
Arizona,Level 1,Nov-15-2008
Arkansas,Level 1,Nov-15-2008
California,Level 1,Nov-15-2008
Colorado,Level 1,Nov-15-2008
Connecticut,Level 1,Nov-15-2008
Delaware,Level 1,Nov-15-2008
Florida,Level 1,Nov-15-2008
Georgia,Level 2,Nov-15-2008
Hawaii,Level 1,Nov-15-2008
Idaho,Level 1,Nov-15-2008
Illinois,Level 1,Nov-15-2008
Indiana,Level 1,Nov-15-2008
Iowa,Level 1,Nov-15-2008
Kansas,Level 1,Nov-15-2008
Kentucky,Level 1,Nov-15-2008
Louisiana,Level 1,Nov-15-2008
Maine,Level 1,Nov-15-2008
Maryland,Level 1,Nov-15-2008
Massachusetts,Level 1,Nov-15-2008
Michigan,Level 1,Nov-15-2008
Minnesota,Level 1,Nov-15-2008
Mississippi,Level 4,Nov-15-2008
Missouri,Level 1,Nov-15-2008
Montana,Level 1,Nov-15-2008
Nebraska,Level 1,Nov-15-2008
Nevada,Level 1,Nov-15-2008
New Hampshire,Level 1,Nov-15-2008
New Jersey,Level 1,Nov-15-2008
New Mexico,Level 1,Nov-15-2008
New York,Level 1,Nov-15-2008
North Carolina,Level 1,Nov-15-2008
North Dakota,Level 1,Nov-15-2008
Ohio,Level 1,Nov-15-2008
Oklahoma,Level 1,Nov-15-2008
Oregon,Level 1,Nov-15-2008
Pennsylvania,Level 1,Nov-15-2008
Rhode Island,Level 1,Nov-15-2008
South Carolina,Level 1,Nov-15-2008
South Dakota,Level 1,Nov-15-2008
Tennessee,Level 1,Nov-15-2008
Texas,Level 1,Nov-15-2008
Utah,Level 1,Nov-15-2008
Vermont,Level 1,Nov-15-2008
Virginia,Level 1,Nov-15-2008
Washington,Level 1,Nov-15-2008
West Virginia,Level 2,Nov-15-2008
Wisconsin,Level 1,Nov-15-2008
Wyoming,Level 1,Nov-15-2008
New York City,Level 1,Nov-15-2008
Alabama,Level 3,Nov-22-2008
Alaska,Level 1,Nov-22-2008
Arizona,Level 1,Nov-22-2008
Arkansas,Level 1,Nov-22-2008
California,Level 1,Nov-22-2008
Colorado,Level 1,Nov-22-2008
Connecticut,Level 1,Nov-22-2008
Delaware,Level 1,Nov-22-2008
Florida,Level 1,Nov-22-2008
Georgia,Level 1,Nov-22-2008
Hawaii,Level 1,Nov-22-2008
Idaho,Level 1,Nov-22-2008
Illinois,Level 1,Nov-22-2008
Indiana,Level 1,Nov-22-2008
Iowa,Level 1,Nov-22-2008
Kansas,Level 1,Nov-22-2008
Kentucky,Level 1,Nov-22-2008
Louisiana,Level 1,Nov-22-2008
Maine,Level 1,Nov-22-2008
Maryland,Level 1,Nov-22-2008
Massachusetts,Level 1,Nov-22-2008
Michigan,Level 1,Nov-22-2008
Minnesota,Level 1,Nov-22-2008
Mississippi,Level 7,Nov-22-2008
Missouri,Level 1,Nov-22-2008
Montana,Level 1,Nov-22-2008
Nebraska,Level 1,Nov-22-2008
Nevada,Level 1,Nov-22-2008
New Hampshire,Level 1,Nov-22-2008
New Jersey,Level 1,Nov-22-2008
New Mexico,Level 1,Nov-22-2008
New York,Level 1,Nov-22-2008
North Carolina,Level 1,Nov-22-2008
North Dakota,Level 1,Nov-22-2008
Ohio,Level 1,Nov-22-2008
Oklahoma,Level 1,Nov-22-2008
Oregon,Level 1,Nov-22-2008
Pennsylvania,Level 1,Nov-22-2008
Rhode Island,Level 1,Nov-22-2008
South Carolina,Level 1,Nov-22-2008
South Dakota,Level 1,Nov-22-2008
Tennessee,Level 1,Nov-22-2008
Texas,Level 1,Nov-22-2008
Utah,Level 1,Nov-22-2008
Vermont,Level 1,Nov-22-2008
Virginia,Level 2,Nov-22-2008
Washington,Level 1,Nov-22-2008
West Virginia,Level 1,Nov-22-2008
Wisconsin,Level 1,Nov-22-2008
Wyoming,Level 1,Nov-22-2008
Virgin Islands,Level 0,Nov-22-2008
New York City,Level 2,Nov-22-2008
Alabama,Level 4,Nov-29-2008
Alaska,Level 1,Nov-29-2008
Arizona,Level 1,Nov-29-2008
Arkansas,Level 2,Nov-29-2008
California,Level 1,Nov-29-2008
Colorado,Level 1,Nov-29-2008
Connecticut,Level 1,Nov-29-2008
Delaware,Level 1,Nov-29-2008
Florida,Level 1,Nov-29-2008
Georgia,Level 3,Nov-29-2008
Hawaii,Level 1,Nov-29-2008
Idaho,Level 1,Nov-29-2008
Illinois,Level 1,Nov-29-2008
Indiana,Level 1,Nov-29-2008
Iowa,Level 1,Nov-29-2008
Kansas,Level 1,Nov-29-2008
Kentucky,Level 1,Nov-29-2008
Louisiana,Level 1,Nov-29-2008
Maine,Level 1,Nov-29-2008
Maryland,Level 2,Nov-29-2008
Massachusetts,Level 1,Nov-29-2008
Michigan,Level 1,Nov-29-2008
Minnesota,Level 1,Nov-29-2008
Mississippi,Level 6,Nov-29-2008
Missouri,Level 1,Nov-29-2008
Montana,Level 1,Nov-29-2008
Nebraska,Level 1,Nov-29-2008
Nevada,Level 1,Nov-29-2008
New Hampshire,Level 1,Nov-29-2008
New Jersey,Level 1,Nov-29-2008
New Mexico,Level 1,Nov-29-2008
New York,Level 1,Nov-29-2008
North Carolina,Level 1,Nov-29-2008
North Dakota,Level 1,Nov-29-2008
Ohio,Level 1,Nov-29-2008
Oklahoma,Level 1,Nov-29-2008
Oregon,Level 1,Nov-29-2008
Pennsylvania,Level 1,Nov-29-2008
Rhode Island,Level 1,Nov-29-2008
South Carolina,Level 1,Nov-29-2008
South Dakota,Level 1,Nov-29-2008
Tennessee,Level 1,Nov-29-2008
Texas,Level 1,Nov-29-2008
Utah,Level 1,Nov-29-2008
Vermont,Level 1,Nov-29-2008
Virginia,Level 3,Nov-29-2008
Washington,Level 1,Nov-29-2008
West Virginia,Level 1,Nov-29-2008
Wisconsin,Level 1,Nov-29-2008
Wyoming,Level 1,Nov-29-2008
Virgin Islands,Level 0,Nov-29-2008
New York City,Level 3,Nov-29-2008
Alabama,Level 5,Dec-06-2008
Alaska,Level 1,Dec-06-2008
Arizona,Level 1,Dec-06-2008
Arkansas,Level 1,Dec-06-2008
California,Level 1,Dec-06-2008
Colorado,Level 1,Dec-06-2008
Connecticut,Level 1,Dec-06-2008
Delaware,Level 1,Dec-06-2008
Florida,Level 1,Dec-06-2008
Georgia,Level 2,Dec-06-2008
Hawaii,Level 1,Dec-06-2008
Idaho,Level 1,Dec-06-2008
Illinois,Level 1,Dec-06-2008
Indiana,Level 1,Dec-06-2008
Iowa,Level 1,Dec-06-2008
Kansas,Level 1,Dec-06-2008
Kentucky,Level 1,Dec-06-2008
Louisiana,Level 1,Dec-06-2008
Maine,Level 1,Dec-06-2008
Maryland,Level 2,Dec-06-2008
Massachusetts,Level 1,Dec-06-2008
Michigan,Level 1,Dec-06-2008
Minnesota,Level 1,Dec-06-2008
Mississippi,Level 6,Dec-06-2008
Missouri,Level 1,Dec-06-2008
Montana,Level 1,Dec-06-2008
Nebraska,Level 1,Dec-06-2008
Nevada,Level 1,Dec-06-2008
New Hampshire,Level 1,Dec-06-2008
New Jersey,Level 1,Dec-06-2008
New Mexico,Level 1,Dec-06-2008
New York,Level 1,Dec-06-2008
North Carolina,Level 1,Dec-06-2008
North Dakota,Level 1,Dec-06-2008
Ohio,Level 1,Dec-06-2008
Oklahoma,Level 1,Dec-06-2008
Oregon,Level 1,Dec-06-2008
Pennsylvania,Level 1,Dec-06-2008
Rhode Island,Level 1,Dec-06-2008
South Carolina,Level 1,Dec-06-2008
South Dakota,Level 1,Dec-06-2008
Tennessee,Level 1,Dec-06-2008
Texas,Level 1,Dec-06-2008
Utah,Level 1,Dec-06-2008
Vermont,Level 1,Dec-06-2008
Virginia,Level 3,Dec-06-2008
Washington,Level 1,Dec-06-2008
West Virginia,Level 1,Dec-06-2008
Wisconsin,Level 1,Dec-06-2008
Wyoming,Level 1,Dec-06-2008
Virgin Islands,Level 0,Dec-06-2008
New York City,Level 3,Dec-06-2008
Alabama,Level 4,Dec-13-2008
Alaska,Level 1,Dec-13-2008
Arizona,Level 1,Dec-13-2008
Arkansas,Level 1,Dec-13-2008
California,Level 1,Dec-13-2008
Colorado,Level 1,Dec-13-2008
Connecticut,Level 1,Dec-13-2008
Delaware,Level 1,Dec-13-2008
Florida,Level 1,Dec-13-2008
Georgia,Level 2,Dec-13-2008
Hawaii,Level 1,Dec-13-2008
Idaho,Level 1,Dec-13-2008
Illinois,Level 1,Dec-13-2008
Indiana,Level 1,Dec-13-2008
Iowa,Level 1,Dec-13-2008
Kansas,Level 1,Dec-13-2008
Kentucky,Level 1,Dec-13-2008
Louisiana,Level 0,Dec-13-2008
Maine,Level 1,Dec-13-2008
Maryland,Level 2,Dec-13-2008
Massachusetts,Level 1,Dec-13-2008
Michigan,Level 1,Dec-13-2008
Minnesota,Level 1,Dec-13-2008
Mississippi,Level 7,Dec-13-2008
Missouri,Level 1,Dec-13-2008
Montana,Level 1,Dec-13-2008
Nebraska,Level 1,Dec-13-2008
Nevada,Level 1,Dec-13-2008
New Hampshire,Level 1,Dec-13-2008
New Jersey,Level 1,Dec-13-2008
New Mexico,Level 1,Dec-13-2008
New York,Level 1,Dec-13-2008
North Carolina,Level 1,Dec-13-2008
North Dakota,Level 1,Dec-13-2008
Ohio,Level 1,Dec-13-2008
Oklahoma,Level 1,Dec-13-2008
Oregon,Level 1,Dec-13-2008
Pennsylvania,Level 1,Dec-13-2008
Rhode Island,Level 1,Dec-13-2008
South Carolina,Level 1,Dec-13-2008
South Dakota,Level 1,Dec-13-2008
Tennessee,Level 1,Dec-13-2008
Texas,Level 1,Dec-13-2008
Utah,Level 1,Dec-13-2008
Vermont,Level 1,Dec-13-2008
Virginia,Level 3,Dec-13-2008
Washington,Level 1,Dec-13-2008
West Virginia,Level 1,Dec-13-2008
Wisconsin,Level 1,Dec-13-2008
Wyoming,Level 1,Dec-13-2008
Virgin Islands,Level 0,Dec-13-2008
New York City,Level 3,Dec-13-2008
Alabama,Level 1,Dec-20-2008
Alaska,Level 1,Dec-20-2008
Arizona,Level 1,Dec-20-2008
Arkansas,Level 1,Dec-20-2008
California,Level 1,Dec-20-2008
Colorado,Level 1,Dec-20-2008
Connecticut,Level 1,Dec-20-2008
Delaware,Level 1,Dec-20-2008
Florida,Level 1,Dec-20-2008
Georgia,Level 3,Dec-20-2008
Hawaii,Level 1,Dec-20-2008
Idaho,Level 1,Dec-20-2008
Illinois,Level 1,Dec-20-2008
Indiana,Level 1,Dec-20-2008
Iowa,Level 1,Dec-20-2008
Kansas,Level 1,Dec-20-2008
Kentucky,Level 1,Dec-20-2008
Louisiana,Level 0,Dec-20-2008
Maine,Level 1,Dec-20-2008
Maryland,Level 2,Dec-20-2008
Massachusetts,Level 1,Dec-20-2008
Michigan,Level 1,Dec-20-2008
Minnesota,Level 1,Dec-20-2008
Mississippi,Level 7,Dec-20-2008
Missouri,Level 1,Dec-20-2008
Montana,Level 1,Dec-20-2008
Nebraska,Level 1,Dec-20-2008
Nevada,Level 1,Dec-20-2008
New Hampshire,Level 1,Dec-20-2008
New Jersey,Level 1,Dec-20-2008
New Mexico,Level 1,Dec-20-2008
New York,Level 1,Dec-20-2008
North Carolina,Level 1,Dec-20-2008
North Dakota,Level 1,Dec-20-2008
Ohio,Level 1,Dec-20-2008
Oklahoma,Level 1,Dec-20-2008
Oregon,Level 1,Dec-20-2008
Pennsylvania,Level 1,Dec-20-2008
Rhode Island,Level 1,Dec-20-2008
South Carolina,Level 1,Dec-20-2008
South Dakota,Level 1,Dec-20-2008
Tennessee,Level 1,Dec-20-2008
Texas,Level 1,Dec-20-2008
Utah,Level 1,Dec-20-2008
Vermont,Level 1,Dec-20-2008
Virginia,Level 0,Dec-20-2008
Washington,Level 1,Dec-20-2008
West Virginia,Level 1,Dec-20-2008
Wisconsin,Level 1,Dec-20-2008
Wyoming,Level 1,Dec-20-2008
Virgin Islands,Level 0,Dec-20-2008
New York City,Level 4,Dec-20-2008
Alabama,Level 1,Dec-27-2008
Alaska,Level 1,Dec-27-2008
Arizona,Level 1,Dec-27-2008
Arkansas,Level 1,Dec-27-2008
California,Level 1,Dec-27-2008
Colorado,Level 1,Dec-27-2008
Connecticut,Level 1,Dec-27-2008
Delaware,Level 1,Dec-27-2008
Florida,Level 1,Dec-27-2008
Georgia,Level 5,Dec-27-2008
Hawaii,Level 1,Dec-27-2008
Idaho,Level 1,Dec-27-2008
Illinois,Level 1,Dec-27-2008
Indiana,Level 1,Dec-27-2008
Iowa,Level 1,Dec-27-2008
Kansas,Level 1,Dec-27-2008
Kentucky,Level 1,Dec-27-2008
Louisiana,Level 0,Dec-27-2008
Maine,Level 1,Dec-27-2008
Maryland,Level 4,Dec-27-2008
Massachusetts,Level 1,Dec-27-2008
Michigan,Level 1,Dec-27-2008
Minnesota,Level 1,Dec-27-2008
Mississippi,Level 9,Dec-27-2008
Missouri,Level 1,Dec-27-2008
Montana,Level 1,Dec-27-2008
Nebraska,Level 1,Dec-27-2008
Nevada,Level 2,Dec-27-2008
New Hampshire,Level 1,Dec-27-2008
New Jersey,Level 1,Dec-27-2008
New Mexico,Level 1,Dec-27-2008
New York,Level 1,Dec-27-2008
North Carolina,Level 1,Dec-27-2008
North Dakota,Level 2,Dec-27-2008
Ohio,Level 1,Dec-27-2008
Oklahoma,Level 1,Dec-27-2008
Oregon,Level 1,Dec-27-2008
Pennsylvania,Level 1,Dec-27-2008
Rhode Island,Level 1,Dec-27-2008
South Carolina,Level 1,Dec-27-2008
South Dakota,Level 2,Dec-27-2008
Tennessee,Level 1,Dec-27-2008
Texas,Level 3,Dec-27-2008
Utah,Level 1,Dec-27-2008
Vermont,Level 1,Dec-27-2008
Virginia,Level 4,Dec-27-2008
Washington,Level 1,Dec-27-2008
West Virginia,Level 1,Dec-27-2008
Wisconsin,Level 1,Dec-27-2008
Wyoming,Level 1,Dec-27-2008
Virgin Islands,Level 0,Dec-27-2008
New York City,Level 4,Dec-27-2008
Alabama,Level 1,Jan-03-2009
Alaska,Level 1,Jan-03-2009
Arizona,Level 1,Jan-03-2009
Arkansas,Level 2,Jan-03-2009
California,Level 1,Jan-03-2009
Colorado,Level 1,Jan-03-2009
Connecticut,Level 1,Jan-03-2009
Delaware,Level 1,Jan-03-2009
Florida,Level 1,Jan-03-2009
Georgia,Level 4,Jan-03-2009
Hawaii,Level 1,Jan-03-2009
Idaho,Level 1,Jan-03-2009
Illinois,Level 1,Jan-03-2009
Indiana,Level 1,Jan-03-2009
Iowa,Level 1,Jan-03-2009
Kansas,Level 1,Jan-03-2009
Kentucky,Level 1,Jan-03-2009
Louisiana,Level 0,Jan-03-2009
Maine,Level 1,Jan-03-2009
Maryland,Level 3,Jan-03-2009
Massachusetts,Level 1,Jan-03-2009
Michigan,Level 1,Jan-03-2009
Minnesota,Level 1,Jan-03-2009
Mississippi,Level 7,Jan-03-2009
Missouri,Level 1,Jan-03-2009
Montana,Level 1,Jan-03-2009
Nebraska,Level 1,Jan-03-2009
Nevada,Level 3,Jan-03-2009
New Hampshire,Level 1,Jan-03-2009
New Jersey,Level 1,Jan-03-2009
New Mexico,Level 1,Jan-03-2009
New York,Level 1,Jan-03-2009
North Carolina,Level 1,Jan-03-2009
North Dakota,Level 2,Jan-03-2009
Ohio,Level 1,Jan-03-2009
Oklahoma,Level 1,Jan-03-2009
Oregon,Level 1,Jan-03-2009
Pennsylvania,Level 1,Jan-03-2009
Rhode Island,Level 1,Jan-03-2009
South Carolina,Level 1,Jan-03-2009
South Dakota,Level 1,Jan-03-2009
Tennessee,Level 1,Jan-03-2009
Texas,Level 2,Jan-03-2009
Utah,Level 1,Jan-03-2009
Vermont,Level 1,Jan-03-2009
Virginia,Level 4,Jan-03-2009
Washington,Level 1,Jan-03-2009
